% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius in OD/M/cm
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,Water,HbO2,HHb,FatSoybean,diffCCO,ox_redCCO,oxCCO,redCCO
650,2.50903e-05,386.8,3734.15,3734.15,4929.24,3561.2362,6907.4375,3346.2013
651,2.52708e-05,379.2,3702.97,3702.97,4892.33,3546.7362,6851.975,3305.2388
652,2.61733e-05,372.1,3671.79,3671.79,4855.41,3535.7162,6807.025,3271.3088
653,2.59928e-05,365.81,3640.47,3640.47,4806.77,3525.3125,6760.625,3235.3125
654,2.65343e-05,360.01,3611.68,3611.68,4758.13,3508.6737,6715.3125,3206.6388
655,2.54513e-05,354.41,3583.19,3583.19,4702.97,3490.005,6665.65,3175.645
656,2.59928e-05,349.41,3554.61,3554.61,4648.25,3469.415,6613.0875,3143.6725
657,2.56318e-05,345.01,3525.99,3525.99,4587.89,3442.6263,6553.6375,3111.0112
658,2.87004e-05,340.91,3497.33,3497.33,4527.95,3415.91,6494.55,3078.64
659,2.76173e-05,337.52,3468.62,3468.62,4463.68,3379.9137,6430.3875,3050.4738
660,2.99639e-05,334.52,3439.92,3439.92,4399.84,3336.6312,6354.625,3017.9938
661,2.99639e-05,331.71,3405.35,3405.35,4332,3297.5538,6283.2125,2985.6587
662,2.94224e-05,329.32,3370.86,3370.86,4263.9,3244.0125,6202.7375,2958.725
663,2.96029e-05,327.52,3336.25,3336.25,4191.72,3185.4688,6113.2,2927.7312
664,2.87004e-05,325.92,3298.16,3298.16,4119.54,3120.1462,6020.7625,2900.6163
665,2.96029e-05,324.42,3257.38,3257.38,4044.58,3045.1087,5919.2625,2874.1538
666,2.96029e-05,323.32,3216.6,3216.6,3969.5,2969.455,5815.5875,2846.1325
667,2.96029e-05,322.62,3175.39,3175.39,3897.32,2884.775,5705.75,2820.975
668,2.90614e-05,321.92,3131.91,3131.91,3825.14,2803.9375,5600.9875,2797.05
669,3.01444e-05,321.52,3088.31,3088.31,3751.96,2713.3487,5488.6125,2775.2638
670,2.99639e-05,321.22,3044.71,3044.71,3678.78,2623.5213,5374.0625,2750.5412
671,2.92419e-05,321.12,2998.54,2998.54,3606.38,2537.2825,5266.4,2729.1175
672,3.03249e-05,321.12,2951.16,2951.16,3533.98,2454.705,5164.175,2709.47
673,3.08664e-05,321.32,2903.78,2903.78,3462.63,2356.7575,5044.1875,2687.43
674,3.213e-05,321.32,2856.18,2856.18,3391.23,2279.6175,4950.3,2670.6825
675,2.99639e-05,321.02,2807.97,2807.97,3321.57,2201.245,4856.4125,2655.1675
676,2.99639e-05,320.72,2759.9,2759.9,3251.87,2116.3112,4754.55,2638.2388
677,3.08664e-05,320.52,2711.69,2711.69,3183.29,2034.2412,4651.9625,2617.7213
678,3.10469e-05,320.42,2664.53,2664.53,3114.8,1965.6925,4572.9375,2607.245
679,3.10469e-05,320.02,2617.62,2617.62,3055.44,1891.235,4478.325,2587.09
680,3.19495e-05,319.32,2570.63,2570.63,2996.02,1810.905,4381.9,2570.995
681,3.30325e-05,318.52,2524.16,2524.16,2948.86,1739.3837,4298.1625,2558.7788
682,3.4296e-05,318.02,2478.17,2478.17,2901.65,1681.4925,4234,2552.5075
683,3.30325e-05,317.22,2432.27,2432.27,2861.57,1619.94,4158.2375,2538.2975
684,3.26715e-05,316.22,2386.4,2386.4,2821.57,1558.6413,4088.275,2529.6337
